[1,[0],	[[598,0],[766,0],[373,0],[622,0],[732,0],[493,0],[369,0],[628,0],[329,0],[901,0],[288,0],[806,0],[521,0]]]
[2,[0],	[[901,0],[671,0],[638,0],[798,0],[806,0],[411,0],[888,0],[90,0],[69,0],[424,0],[463,0],[595,0],[732,0],[841,0]]]
[3,[0],	[[732,0]]]
[4,[0],	[[729,0],[842,0],[732,0],[55,0],[881,0],[489,0],[168,0],[569,0],[944,0],[709,0],[378,0],[385,0],[707,0],[306,0],[506,0],[784,0],[17,0],[761,0]]]
[5,[0],	[[102,0],[755,0],[806,0],[322,0],[627,0],[207,0],[329,0],[155,0],[935,0],[341,0],[573,0],[136,0],[687,0],[723,0],[18,0],[732,0]]]
[6,[0],	[[80,0],[428,0],[47,0]]]
[7,[0],	[[732,0],[12,0],[755,0],[198,0],[463,0],[883,0]]]
[8,[0],	[[384,0]]]
[9,[0],	[[732,0],[841,0],[901,0],[469,0],[727,0],[963,0],[411,0],[888,0],[99,0],[373,0],[320,0],[537,0],[917,0],[521,0],[569,0],[440,0],[659,0],[463,0],[898,0],[655,0],[180,0],[446,0],[851,0],[73,0]]]
[10,[0],	[[766,0],[207,0],[569,0],[709,0],[378,0],[598,0],[306,0],[784,0],[570,0],[622,0],[493,0],[732,0],[761,0]]]
[11,[0],	[[583,0],[842,0],[732,0],[12,0],[612,0],[901,0],[798,0],[755,0],[221,0],[806,0],[124,0],[469,0],[888,0],[81,0],[329,0],[421,0],[720,0],[922,0],[884,0],[656,0],[692,0],[404,0],[955,0],[719,0],[944,0],[847,0],[420,0],[513,0],[932,0],[51,0],[431,0],[572,0],[555,0],[298,0],[781,0],[310,0]]]
[12,[0],	[[848,0],[544,0],[481,0],[191,0],[26,0],[349,0],[416,0],[947,0],[912,0],[280,0],[842,0],[823,0],[732,0],[396,0],[474,0],[645,0],[589,0],[165,0],[120,0],[612,0],[841,0],[901,0],[638,0],[916,0],[129,0],[798,0],[870,0],[755,0],[850,0],[457,0],[400,0],[618,0],[797,0],[281,0],[38,0],[456,0],[566,0],[221,0],[806,0],[124,0],[701,0],[875,0],[63,0],[469,0],[55,0],[583,0],[863,0],[447,0],[337,0],[103,0],[203,0],[888,0],[227,0],[322,0],[142,0],[130,0],[562,0],[814,0],[373,0],[198,0],[667,0],[855,0],[516,0],[95,0],[563,0],[426,0],[934,0],[260,0],[831,0],[207,0],[111,0],[490,0],[925,0],[790,0],[504,0],[376,0],[192,0],[574,0],[354,0],[132,0],[734,0],[343,0],[288,0],[329,0],[854,0],[515,0],[69,0],[698,0],[33,0],[251,0],[804,0],[714,0],[109,0],[521,0],[155,0],[514,0],[569,0],[11,0],[601,0],[606,0],[27,0],[271,0],[505,0],[463,0],[704,0],[884,0],[656,0],[776,0],[136,0],[780,0],[961,0],[431,0],[572,0],[204,0],[71,0],[507,0],[7,0],[883,0]]]
[13,[0],	[[901,0],[806,0],[130,0],[373,0],[30,0],[698,0],[33,0],[862,0],[732,0],[491,0],[217,0]]]
[14,[0],	[[732,0],[901,0],[806,0],[469,0],[411,0],[322,0],[130,0]]]
[15,[0],	[[732,0],[914,0]]]
[16,[0],	[[456,0],[26,0],[823,0],[732,0],[910,0],[901,0],[269,0],[798,0],[311,0],[469,0],[863,0],[657,0],[418,0],[65,0],[518,0],[439,0],[727,0],[547,0],[490,0],[879,0],[480,0],[696,0],[262,0],[659,0],[926,0],[626,0]]]
[17,[0],	[[732,0],[881,0],[4,0],[569,0],[709,0],[43,0],[378,0],[306,0],[506,0],[784,0],[761,0]]]
[18,[0],	[[130,0],[732,0],[755,0],[806,0],[322,0],[768,0],[72,0],[627,0],[207,0],[25,0],[329,0],[77,0],[155,0],[327,0],[935,0],[341,0],[573,0],[136,0],[687,0],[46,0],[723,0],[5,0]]]
[19,[0],	[[26,0],[912,0],[280,0],[823,0],[732,0],[456,0],[469,0],[583,0],[418,0],[639,0],[130,0],[459,0],[855,0],[563,0],[357,0],[229,0],[685,0],[922,0],[626,0],[838,0],[293,0],[481,0],[191,0],[544,0]]]
[20,[0],	[[943,0],[595,0],[732,0],[841,0],[638,0],[129,0],[755,0],[38,0],[806,0],[486,0],[615,0],[72,0],[198,0],[627,0],[238,0],[90,0],[224,0],[126,0],[849,0],[271,0],[429,0],[792,0],[265,0],[650,0]]]
[21,[0],	[[452,0],[220,0],[47,0]]]
[22,[0],	[[732,0],[901,0]]]
[23,[0],	[[877,0],[732,0],[638,0],[870,0],[457,0],[566,0],[111,0],[578,0]]]
[24,[0],	[[534,0],[934,0],[429,0],[584,0],[531,0],[450,0],[552,0]]]
[25,[0],	[[474,0],[732,0],[638,0],[755,0],[618,0],[806,0],[348,0],[142,0],[72,0],[563,0],[627,0],[207,0],[790,0],[126,0],[77,0],[327,0],[390,0],[953,0],[573,0],[712,0],[89,0],[46,0],[18,0]]]
